id_census,id_county,id_state,id_rural,id_urban,id_totalpop,id_totalhousing,id_group,id_vehacc,acc_ur_1to10,acc_ur_1to20,acc_tract1,acc_tract10,acc_tract20,acc_store1,acc_store10,acc_store20,idv_income1,idv_income10,idv_income20,idv_inc_acc,idv_child1,idv_child10,idv_child20,idv_senior1,idv_senior10,idv_senior20,nbh_income,nbh_acc1,nbh_acc10,nbh_acc20
53077003002,Yakima,WA,1,0,3668,1360,0,0,0,0,1,0,0,2577.608355,0,0,914.7180409,0,0,0,666.2795046,0,0,365.8272428,0,0,0,11.47731724,0,0
53077003100,Yakima,WA,0,1,5232,1938,0,0,1,1,1,0,0,3787.025577,0,0,659.395355,0,0,0,932.6695727,0,0,544.0808467,0,0,0,8.729978405,0,0
53077003200,Yakima,WA,0,1,6682,2410,0,0,1,1,1,0,0,1105.274406,0,0,389.5386007,0,0,0,337.4677673,0,0,102.384522,0,0,1,3.049874242,0,0
53077003400,Yakima,WA,0,1,4382,1653,0,0,1,1,1,0,0,3774.591883,0,0,687.0194671,0,0,0,903.0835652,0,0,488.4743892,0,0,0,19.37342806,0,0
53077940001,Yakima,WA,1,0,6409,1764,0,0,1,0,1,1,0,5848.432694,530.6845538,0,2756.846896,274.0670798,0,0,1910.424997,172.3367286,0,584.1603039,59.29952725,0,1,83.55582147,11.12096097,0
53077940002,Yakima,WA,1,0,4430,1256,0,0,0,0,1,0,0,3968.047046,0.091156781,0,2441.512655,0.041977294,0,0,1333.042074,0,0,370.3159573,0,0,1,14.86432049,0.000765309,0
53077940003,Yakima,WA,1,0,3682,1095,0,0,1,0,1,1,0,3681.999994,2200.435607,33.45331858,1743.836852,1289.081385,17.18977536,0,1171.000003,806.464678,9.781685346,430.9999988,150.3474881,2.205558611,1,49.93988261,45.43261514,0.264153656
53077940004,Yakima,WA,0,1,6777,1664,0,0,0,0,0,0,0,25.23523843,0,0,19.43330428,0,0,0,7.366870064,0,0,3.209322546,0,0,1,0.33222071,0,0
53077940005,Yakima,WA,0,1,4695,1249,0,0,0,0,0,0,0,3.906115503,0,0,2.881654392,0,0,0,0.787853681,0,0,0.026827407,0,0,1,0.022674605,0,0
53077940006,Yakima,WA,0,1,4839,1147,0,1,0,0,0,0,0,184.2914687,0,0,141.7314992,0,0,1,77.64621905,0,0,9.712538968,0,0,1,5.373941313,0,0
